Symbol,Date,Open,High,Low,Close,PrevClose,Change,PctChange,Volume,AvgVol20,RVOL,VWAP,VWAP_Pos,VWAP_Band,VWAP_Dist%,EMA9,EMA20,EMA50,RSI,MACD,MACD_Signal,MACD_Hist,MACD_Cross,BB_Width%,BB_Pos,ATR,ADX,ADX_Trend,ADX_Dir,Supertrend,Breakout,Gap%,Gap_Type,Score,Label,ATR_Stop_L,ATR_Target_L,Vol_Spike
BANKBARODA,01-09-2026,238.0,240.2,236.68,237.7,238.6,-0.9,-0.38,13129090,7962078,1.65,244.71,Below,Below -1σ,-2.86,241.33,243.76,249.71,37.15,-2.83,-2.44,-0.3975,,6.28,Inside,4.47,17.34,No Trend,Bear,Bear,,-0.25,No Gap,50,Neutral,231.0,246.64,Spike
RELIANCE,01-09-2026,1285.0,1311.8,1280.0,1309.0,1277.0,32.0,2.51,12613543,11438145,1.1,1304.02,Above,Inside,0.38,1299.29,1303.44,1300.08,51.78,-2.36,0.82,-3.1791,,5.04,Inside,20.79,14.07,No Trend,Bear,Bull,,0.63,Gap Up,50,Neutral,1277.81,1350.59,
INDIANB,01-09-2026,889.0,890.5,874.05,881.75,898.75,-17.0,-1.89,1602754,1303535,1.23,881.63,Above,Inside,0.01,883.5,876.0,859.71,54.66,9.98,10.78,-0.7947,,4.84,Inside,20.15,22.35,Weak Trend,Bull,Bull,,-1.08,Gap Down,47,Neutral,851.52,922.06,
CGPOWER,01-09-2026,901.95,903.55,881.6,885.5,916.0,-30.5,-3.33,2968646,2071245,1.43,883.73,Above,Inside,0.2,887.98,884.97,891.95,49.88,0.59,-2.74,3.3323,,5.54,Inside,23.64,14.95,No Trend,Bull,Bear,,-1.53,Gap Down,45,Neutral,850.03,932.79,
GVT&D,01-09-2026,4400.0,4400.0,4268.8,4324.0,4445.2,-121.2,-2.73,1042655,1003576,1.04,4285.29,Above,Inside,0.9,4313.28,4308.69,4434.04,49.59,-24.71,-57.33,32.616,,10.48,Inside,163.84,17.24,No Trend,Bear,Bear,,-1.02,Gap Down,45,Neutral,4078.25,4651.67,
AUROPHARMA,01-09-2026,1700.0,1700.1,1671.1,1683.3,1717.0,-33.7,-1.96,608683,960096,0.63,1638.89,Above,Above +1σ,2.71,1653.83,1633.06,1590.91,61.17,23.55,19.92,3.6316,,7.13,Inside,38.36,29.96,Strong Trend,Bull,Bull,,-0.99,Gap Down,40,Neutral,1625.76,1760.02,
COFORGE,01-09-2026,1985.3,1994.2,1961.2,1988.9,1985.3,3.6,0.18,2055749,2153788,0.95,1863.22,Above,Above +1σ,6.75,1927.23,1853.2,1712.83,73.03,87.59,81.35,6.248,,15.68,Inside,49.43,41.98,Strong Trend,Bull,Bull,,0.0,No Gap,40,Neutral,1914.75,2087.77,
ETERNAL,01-09-2026,325.0,329.4,323.0,327.75,328.1,-0.35,-0.11,21490907,37623563,0.57,323.41,Above,Inside,1.34,326.47,320.42,302.15,65.63,8.45,9.3,-0.8537,,8.19,Inside,8.04,42.12,Strong Trend,Bull,Bull,,-0.94,Gap Down,40,Neutral,315.7,343.82,
KOTAKBANK,01-09-2026,420.8,429.1,420.75,425.0,419.4,5.6,1.34,7669565,12060428,0.64,405.61,Above,Above +1σ,4.78,414.0,405.08,397.28,71.67,8.36,5.25,3.108,,12.5,Inside,7.64,43.0,Strong Trend,Bull,Bull,,0.33,No Gap,40,Neutral,413.54,440.27,
LAURUSLABS,01-09-2026,1888.9,1895.0,1837.4,1861.6,1915.0,-53.4,-2.79,3529595,3522542,1.0,1874.02,Below,Inside,-0.66,1876.08,1835.2,1719.13,58.66,55.68,59.28,-3.599,Bear,9.09,Inside,47.26,40.51,Strong Trend,Bull,Bull,,-1.36,Gap Down,40,Neutral,1790.71,1956.12,
MCX,01-09-2026,3360.1,3369.0,3255.2,3303.0,3400.0,-97.0,-2.85,1505080,2944908,0.51,2995.36,Above,Above +1σ,10.27,3255.72,3110.15,2948.87,65.27,150.89,120.31,30.5855,,32.62,Inside,100.29,37.05,Strong Trend,Bull,Bull,,-1.17,Gap Down,40,Neutral,3152.56,3503.59,
